Connector,Pin,FPGA Pin,Pin Attributes,Net Name,Length (mm),Power In,Power Out,I/O Power,Ground,FPGA I/O,I/O Bank,JTAG,FPGA Clock In,Differential (+),Differential (-),BRK7010,Design Net,XDC IOStandard,Comment
MC2,51,D2,IO_L4N_T0_35,B35_L4N,15.914,"","","","",TRUE,35,"","","",TRUE,J4-11,"",LVCMOS33,""
MC2,52,F1,IO_L5N_T0_AD13N_35,B35_L5N,25.056,"","","","",TRUE,35,"","","",TRUE,J4-12,"",LVCMOS33,""
MC2,53,F3,IO_L6P_T0_35,B35_L6P,15.579,"","","","",TRUE,35,"","",TRUE,"",J4-13,"",LVCMOS33,""
MC2,54,E1,IO_L3P_T0_DQS_AD5P_35,B35_L3P,22.263,"","","","",TRUE,35,"","",TRUE,"",J4-14,"",LVCMOS33,""
MC2,55,"",VCCO_35,VCCO_MC2,"","","",VCCO_MC2,"","","","","","","",J4-15,"","",""
MC2,56,"","",DGND,"","","","",true,"","","","","","",J4-16,"","",""
MC2,57,E3,IO_L6N_T0_VREF_35,B35_L6N,15.027,"","","","",TRUE,35,"","","",TRUE,J4-17,"",LVCMOS33,""
MC2,58,D1,IO_L3N_T0_DQS_AD5N_35,B35_L3N,21.386,"","","","",TRUE,35,"","","",TRUE,J4-18,"",LVCMOS33,""
MC2,59,B1,IO_L1P_T0_AD4P_35,B35_L1P,12.002,"","","","",TRUE,35,"","",TRUE,"",J4-19,"",LVCMOS33,""
MC2,60,C2,IO_L2P_T0_AD12P_35,B35_L2P,17.193,"","","","",TRUE,35,"","",TRUE,"",J4-20,"",LVCMOS33,""
MC2,61,A1,IO_L1N_T0_AD4N_35,B35_L1N,9.240,"","","","",TRUE,35,"","","",TRUE,J4-21,"",LVCMOS33,""
MC2,62,B2,IO_L2N_T0_AD12N_35,B35_L2N,15.957,"","","","",TRUE,35,"","","",TRUE,J4-22,"",LVCMOS33,""
MC2,63,K4,IO_L13P_T2_MRCC_35,B35_L13P,21.257,"","","","",TRUE,35,"",true,TRUE,"",J4-23,"",LVCMOS33,""
MC2,64,U15,IO_L14P_T2_SRCC_13,B13_L14P,47.649,"","","","",TRUE,13,"",true,TRUE,"",J4-24,"",LVCMOS33,""
MC2,65,J4,IO_L13N_T2_MRCC_35,B35_L13N,19.769,"","","","",TRUE,35,"",true,"",TRUE,J4-25,"",LVCMOS33,""
MC2,66,V15,IO_L14N_T2_SRCC_13,B13_L14N,48.907,"","","","",TRUE,13,"",true,"",TRUE,J4-26,"",LVCMOS33,""
MC2,67,T16,IO_L17P_T2_13,B13_L17P,40.409,"","","","",TRUE,13,"","",TRUE,"",J4-27,"",LVCMOS33,""
MC2,68,T14,IO_L15P_T2_DQS_13,B13_L15P,51.892,"","","","",TRUE,13,"","",TRUE,"",J4-28,"",LVCMOS33,""
MC2,69,U16,IO_L17N_T2_13,B13_L17N,41.542,"","","","",TRUE,13,"","","",TRUE,J4-29,"",LVCMOS33,""
MC2,70,T15,IO_L15N_T2_DQS_13,B13_L15N,53.553,"","","","",TRUE,13,"","","",TRUE,J4-30,"",LVCMOS33,""
MC2,71,V13,IO_L13P_T2_MRCC_13,B13_L13P,43.141,"","","","",TRUE,13,"",true,TRUE,"",J4-31,"",LVCMOS33,""
MC2,72,W14,IO_L6P_T0_13,B13_L6P,57.137,"","","","",TRUE,13,"","",TRUE,"",J4-32,"",LVCMOS33,""
MC2,73,V14,IO_L13N_T2_MRCC_13,B13_L13N,44.768,"","","","",TRUE,13,"",true,"",TRUE,J4-33,"",LVCMOS33,""
MC2,74,Y14,IO_L6N_T0_VREF_13,B13_L6N,54.597,"","","","",TRUE,13,"","","",TRUE,J4-34,"",LVCMOS33,""
MC2,75,Y11,IO_L11P_T1_SRCC_13,B13_L11P,42.257,"","","","",TRUE,13,"",true,TRUE,"",J4-35,"",LVCMOS33,""
MC2,76,Y12,IO_L11N_T1_SRCC_13,B13_L11N,49.008,"","","","",TRUE,13,"",true,"",TRUE,J4-36,"",LVCMOS33,""
MC2,77,H4,IO_L12P_T1_MRCC_35,B35_L12P_MRCC,23.348,"","","","",TRUE,35,"",true,TRUE,"",J4-37,"",LVCMOS33,""
MC2,78,"","",DGND,"","","","",true,"","","","","","",J4-38,"","",""
MC2,79,G4,IO_L12N_T1_MRCC_35,B35_L12N_MRCC,23.646,"","","","",TRUE,35,"",true,"",TRUE,J4-39,"",LVCMOS33,""
MC2,80,"","",DGND,"","","","",true,"","","","","","",J4-40,"","",""
